name,picture,reign,ascension,death,spouses,children
Edward V (1483),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/King_Edward_V_from_NPG.jpg/374px-King_Edward_V_from_NPG.jpg,0,12,12,0,0
Richard III (1483-1485),https://upload.wikimedia.org/wikipedia/commons/0/09/Richard_III_earliest_surviving_portrait.jpg,2,30,33,1,1
Henry VII (1485-1509),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/King_Henry_VII.jpg/325px-King_Henry_VII.jpg,23,28,52,1,8
Henry VIII (1509-1547),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Workshop_of_Hans_Holbein_the_Younger_-_Portrait_of_Henry_VIII_-_Google_Art_Project.jpg/273px-Workshop_of_Hans_Holbein_the_Younger_-_Portrait_of_Henry_VIII_-_Google_Art_Project.jpg,37,17,55,6,10
Edward VI (1547-1553),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Portrait_of_Edward_VI_of_England.jpg/379px-Portrait_of_Edward_VI_of_England.jpg,6,9,15,0,0
Lady Jane Grey (1553),https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Streathamladyjayne.jpg/371px-Streathamladyjayne.jpg,0,15,15,1,0
Mary I (1553-1558),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Maria_Tudor1.jpg/363px-Maria_Tudor1.jpg,5,37,42,1,0
Elizabeth I (1558-1603),https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Darnley_stage_3.jpg/328px-Darnley_stage_3.jpg,44,25,69,0,0
James I (1603-1625),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/JamesIEngland.jpg/284px-JamesIEngland.jpg,21,36,58,1,9
Charles I (1625-1649),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/King_Charles_I_after_original_by_van_Dyck.jpg/278px-King_Charles_I_after_original_by_van_Dyck.jpg,23,24,48,1,9
Charles II (1660-1685),https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/King_Charles_II_by_John_Michael_Wright_or_studio.jpg/376px-King_Charles_II_by_John_Michael_Wright_or_studio.jpg,24,30,54,1,3
James II (1685-1688),https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/King_James_II_by_Sir_Godfrey_Kneller%2C_Bt.jpg/290px-King_James_II_by_Sir_Godfrey_Kneller%2C_Bt.jpg,3,51,67,2,20
William III (1689-1702),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/King_William_III_of_England%2C_%281650-1702%29_%28lighter%29.jpg/378px-King_William_III_of_England%2C_%281650-1702%29_%28lighter%29.jpg,13,38,51,1,3
Mary II (1689-1694),https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Mary_II_-_Kneller_1690.jpg/294px-Mary_II_-_Kneller_1690.jpg,5,26,32,1,3
Anne (1702-1714),https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Anne1705.jpg/290px-Anne1705.jpg,12,37,49,1,19
George I (1714-1727),https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/King_George_I_by_Sir_Godfrey_Kneller%2C_Bt_%283%29.jpg/338px-King_George_I_by_Sir_Godfrey_Kneller%2C_Bt_%283%29.jpg,12,54,67,1,2
George II (1727-1760),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/George_II_by_Thomas_Hudson.jpg/290px-George_II_by_Thomas_Hudson.jpg,33,43,76,1,9
George III (1760-1820),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/George%2C_Prince_of_Wales%2C_later_George_III%2C_1754_by_Liotard.jpg/374px-George%2C_Prince_of_Wales%2C_later_George_III%2C_1754_by_Liotard.jpg,59,22,81,1,15
George IV (1820-1830),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/George_IV_1821_color.jpg/329px-George_IV_1821_color.jpg,10,57,67,2,1
William IV (1830-1837),https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/William_IV_by_Sir_Martin_Archer_Shee.jpg/317px-William_IV_by_Sir_Martin_Archer_Shee.jpg,6,64,71,1,6
Victoria (1837-1901),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Queen_Victoria_by_Bassano.jpg/340px-Queen_Victoria_by_Bassano.jpg,63,18,81,1,9
Edward VII (1901-1910),https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Edward_VII_in_coronation_robes.jpg/340px-Edward_VII_in_coronation_robes.jpg,9,59,68,1,6
George V (1910-1936),https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/King_George_V_1911_color-crop.jpg/350px-King_George_V_1911_color-crop.jpg,25,44,70,1,6
Edward VIII (1936),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/HRH_The_Prince_of_Wales_No_4_%28HS85-10-36416%29.jpg/356px-HRH_The_Prince_of_Wales_No_4_%28HS85-10-36416%29.jpg,0,41,77,1,0
George VI (1936-1952),https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/King_George_VI_of_England%2C_formal_photo_portrait%2C_circa_1940-1946_-_edit.jpg/339px-King_George_VI_of_England%2C_formal_photo_portrait%2C_circa_1940-1946_-_edit.jpg,15,40,56,1,2
